id,label
2562,1.000000
11848,0.000000
2864,0.999993
1441,0.000000
11107,0.126857
7320,0.064518
8756,0.992148
9239,0.001107
6797,1.000000
10435,0.000129
6148,1.000000
2051,0.001876
10711,0.000000
4990,0.000013
5880,1.000000
10597,0.000002
1111,0.000000
5563,0.024217
4734,0.999937
6199,1.000000
8874,0.034157
2184,0.997727
1436,1.000000
10542,0.027350
7439,1.000000
2546,0.999998
6183,0.999674
2166,0.000006
6356,0.002006
9463,0.000000
4509,0.000002
12231,0.000732
8257,0.000084
10181,1.000000
4983,0.000000
6077,0.000004
6656,0.000000
8635,1.000000
6468,0.148826
145,0.039275
7253,0.000006
7287,0.000446
12496,0.000000
12283,0.352251
6059,0.000000
5980,0.006466
4617,0.005859
2684,0.999967
8120,0.000840
7071,0.000002
1912,0.990513
8424,1.000000
11330,0.000000
11342,0.000008
6812,0.000039
8273,0.000000
10730,1.000000
8290,0.000001
2981,0.999973
1313,0.000000
672,0.000002
1765,0.000001
11576,1.000000
2292,0.000000
7664,0.998615
8224,0.999993
7589,1.000000
11774,0.999921
6933,0.000000
3825,0.000000
2713,0.034233
10335,1.000000
10898,0.999960
388,0.000011
1256,0.000000
406,0.999962
5729,0.000000
1152,0.000431
11217,0.951015
6013,0.000000
2637,0.021110
8866,0.000000
408,0.000174
3223,0.999990
5330,0.000001
7708,0.000007
9666,0.000000
774,0.000344
3376,0.000007
7824,0.000002
1593,0.740594
670,0.999783
2639,0.000006
5876,0.000000
2377,0.000070
6698,0.000000
6633,0.000025
12358,0.001156
9299,0.000000
491,0.999998
5631,0.999992
5653,0.999990
9157,0.003420
9271,0.000006
8510,0.997270
8938,0.999993
1517,0.006865
7954,0.000000
4133,0.000001
716,0.105652
3781,0.000275
531,0.992330
3237,1.000000
7551,1.000000
6348,0.001059
9207,1.000000
1732,1.000000
7985,0.999859
7876,0.810363
668,0.993501
5748,1.000000
12276,0.000000
11365,0.000023
7418,0.019808
8060,0.964794
10873,0.000000
5357,0.997303
1584,0.003861
9601,0.000003
5219,0.000203
2066,0.000000
4004,0.002275
1901,0.000053
6328,0.000004
10156,0.000010
9268,0.000362
4183,0.000000
34,0.000000
4214,0.000000
2894,0.914458
1651,0.000000
2734,0.000001
482,1.000000
2895,1.000000
3194,0.000000
6921,0.000011
4772,1.000000
941,0.000565
2820,1.000000
2935,0.000001
8748,0.000000
4323,0.396292
8548,1.000000
3461,0.000228
11175,1.000000
4584,0.000000
5336,0.120128
9094,0.000000
11786,0.000000
8623,0.000059
4914,0.000193
